VC name,Date,Company,Fund Raised in Million Dollars,Round,Sectors,Country Invested
AngelList India,"Oct 25, 2023",Proost69,$3.14,Seed Round,Food and Beverage,India
AngelList India,"Sep 18, 2023",EquityList,$2.20,Seed Round,Tech,India
Alteria Capital,"Feb 13, 2024",Vidyut,$10.00,Series A,EV,India
Alteria Capital,"Feb 7, 2024",VerSe Innovation,$6.20,Debt Financing,Tech,India
Alteria Capital,"Jan 4, 2024",OneCard,$11.45,Debt Financing,Fintech,India
Alteria Capital,"Dec 21, 2023",BluSmart Mobility,$24.11,Series A,EV,India
Alteria Capital,"Nov 26, 2023",EMotorad,$2.41,Debt Financing,EV,India
Alteria Capital,"Nov 6, 2023",Sequretek,$8.00,Series A,Tech,Usa
Alteria Capital,"Nov 6, 2023",Euler Motors,$14.47,Series C,EV,India
Alteria Capital,"Oct 19, 2023",Mokobara,$3.49,Series A,Business,India
Alteria Capital,"Oct 19, 2023",Showroom B2B,$6.50,Seed Round,Business,India
Blume Ventures,"Feb 26, 2024",Interview Kickstart,$10.00,Venture Round,Tech,Usa
Blume Ventures,"Feb 22, 2024",Kusho,$0.60,Pre Seed Round,Tech,Usa
Blume Ventures,"Feb 21, 2024",Virohan,$1.80,Series B,EdTech,India
Blume Ventures,"Feb 14, 2024",Segwise,$1.60,Pre Seed Round,Tech,India
Blume Ventures,"Jan 9, 2024",Glamplus,$2.00,Seed Round,Tech,India
Blume Ventures,"Dec 20, 2023",GreyOrange,$135.00,Series D,Tech,Usa
Blume Ventures,"Dec 7, 2023",Airblack,$4.00,Series B,EdTech,India
Blume Ventures,"Dec 6, 2023",VoiceClub,$0.70,Seed Round,Tech,India
Blume Ventures,"Nov 21, 2023",VAMA,$1.50,Seed Round,Tech,India
Blume Ventures,"Nov 6, 2023",Euler Motors,$15.60,Series C,EV,India
Stride Ventures,"Feb 19, 2024",Pratech Brands,$1.90,Debt Financing,Tech,India
Stride Ventures,"Feb 15, 2024",Metalbook,$16.90,Series A,Tech,India
Stride Ventures,"Feb 14, 2024",Moove,$10.00,Debt Financing,Fintech,India
Stride Ventures,"Feb 12, 2024",AmberStudent,$2.50,Debt Financing,Tech,India
Stride Ventures,"Feb 9, 2024",Lohum,$23.00,Series B,Business,India
Stride Ventures,"Jan 9, 2024",Grip Invest,$1.40,Convertible Note,Fintech,India
Stride Ventures,"Jan 9, 2024",Grip Invest,$8.40,Series B,Fintech,India
Stride Ventures,"Jan 3, 2024",HyugaLife,$1.08,Seed Round,Tech,India
Stride Ventures,"Dec 21, 2023",BluSmart Mobility,$26.00,Series A,EV,India
ah! Ventures,"Jan 10, 2024",FlexifyMe,$1.20,Seed Round,Healthcare,India
ah! Ventures,"Jan 2, 2024",Settl.,$1.20,Seed Round,RealEstate,India
ah! Ventures,"Nov 30, 2023",Twyn,$1.30,Seed Round,Tech,India
ah! Ventures,"Nov 23, 2023",ZappFresh,$3.60,Venture Round,Tech,India
ah! Ventures,"Oct 31, 2023",Klassroom Edutech,$0.45,Venture Round,EdTech,India
ah! Ventures,"Jul 28, 2023",Terra Food Co.,$0.80,Seed Round,Tech,India
We Founder Circle,"Jan 18, 2024",Bharatsure,$1.08,Seed Round,Tech,India
We Founder Circle,"Jan 10, 2024",Evify,$1.30,Seed Round,EV,India
We Founder Circle,"Jan 2, 2024",Settl.,$1.20,Seed Round,RealEstate,India
We Founder Circle,"Dec 29, 2023",Cashvisory,$0.10,Pre Seed Round,Tech,India
We Founder Circle,"Dec 27, 2023",ESCROWPAY,$6.60,Series A,Fintech,India
We Founder Circle,"Oct 25, 2023",Garuda Aerospace,$3.00,Series A,Aerospace,India
Inflection Point Ventures,"Feb 22, 2024",IndicWisdom,$5.00,Seed Round,Business,India
Inflection Point Ventures,"Feb 5, 2024",Snap-E Cabs,$2.50,Seed Round,EV,India
Inflection Point Ventures,"Jan 18, 2024",Bharatsure,$1.00,Seed Round,Tech,India
Inflection Point Ventures,"Jan 18, 2024",BON V Aero,$0.70,Venture Round,Aerospace,India
Inflection Point Ventures,"Jan 9, 2024",Glamplus,$2.00,Seed Round,Tech,India
Inflection Point Ventures,"Jan 2, 2024",Settl.,$1.20,Seed Round,RealEstate,India
Inflection Point Ventures,"Dec 28, 2023",SkinQ,$0.40,Seed Round,Healthcare,India
Inflection Point Ventures,"Dec 27, 2023",ESCROWPAY,$6.60,Series A,Fintech,India
Accel,"Feb 14, 2024",Rasa,$30.00,Series C,Tech,India
Accel,"Feb 8, 2024",Vocode,$3.30,Seed Round,Tech,Usa
Accel,"Feb 7, 2024",Gently,$2.50,Seed Round,Healthcare,Indonesia
Accel,"Jan 23, 2024",Oasis Security,$35.00,Series A,Tech,Usa
Accel,"Dec 14, 2023",Qogita,$93.84,Series B,Business,Uk
Accel,"Dec 14, 2023",Arcane Intelligence,$5.30,Seed Round,Tech,Uk
Accel,"Dec 7, 2023",Rhythms,$26.00,Seed Round,Tech,Usa
Accel,"Dec 3, 2023",AssemblyAI,$50.00,Series C,Tech,Usa
Accel,"Dec 1, 2023",Syrup Tech,$17.80,Series A,Tech,Usa
Antler India,"Feb 22, 2024",Kusho,$0.60,Pre Seed Round,Tech,Usa
Antler India,"Feb 14, 2024",Segwise,$1.60,Pre Seed Round,Tech,India
Antler India,"Jan 18, 2024",Sahaj Gaming,$0.35,Pre Seed Round,Tech,India
Antler India,"May 2, 2023",Ohm Mobility,$0.40,Pre Seed Round,Fintech,India
Antler India,"Feb 20, 2023",Chainrisk (prev UNSNARL),$0.01,Grant,Tech,India
Antler India,"Jan 23, 2023",OnArrival Travel,$0.20,Pre Seed Round,Tech,India
Antler India,"Jan 11, 2023",Salad,$0.30,Pre Seed Round,Healthcare,India
Antler India,"Dec 14, 2022",Hexo,$0.27,Pre Seed Round,Business,Canada
Titan Capital,"Feb 13, 2024",Supertails,$156.70,Series B,Healthcare,India
Titan Capital,"Feb 8, 2024",Neodocs,$2.00,Seed Round,Tech,India
Titan Capital,"Jan 16, 2024",InPrime Finserv,$3.00,Series A,Fintech ,India
Titan Capital,"Jan 3, 2024",DevDham,$0.70,Seed Round,Tech,India
Titan Capital,"Oct 19, 2023",Showroom B2B,$6.50,Seed Round,Business,India
Titan Capital,"Oct 16, 2023",P-TAL,$0.50,Seed Round,Business,India
Titan Capital,"Sep 25, 2023",Legistify,$4.00,Series A,Tech,India
Titan Capital,"Aug 22, 2023",Boxs,$1.60,Seed Round,Tech,Hong Kong
Titan Capital,"Jul 19, 2023",Blitz,$3.00,Seed Round,Business,Uk
Titan Capital,"Jul 12, 2023",AndesInfra Solutions,$1.00,Seed Round,Business,India
