VC name,Date,Company,Fund Raised,Round
AngelList India,"Oct 25, 2023",Proost69,3.14,Seed Round
AngelList India,"Sep 18, 2023",EquityList,2.2,Seed Round
Alteria Capital,"Feb 13, 2024",Vidyut,10,Series A
Alteria Capital,"Feb 7, 2024",VerSe Innovation,6.2,Debt Financing
Alteria Capital,"Jan 4, 2024",OneCard,11.45,Debt Financing
Alteria Capital,"Dec 21, 2023",BluSmart Mobility,24.11,Series A
Alteria Capital,"Nov 26, 2023",EMotorad,2.41,Debt Financing
Alteria Capital,"Nov 6, 2023",Sequretek,8,Series A
Alteria Capital,"Nov 6, 2023",Euler Motors,14.47,Series C
Alteria Capital,"Oct 19, 2023",Mokobara,3.49,Series A
Alteria Capital,"Oct 19, 2023",Showroom B2B,6.5,Seed Round
Blume Ventures,"Feb 26, 2024",Interview Kickstart,10,Venture Round
Blume Ventures,"Feb 22, 2024",Kusho,0.6,Pre Seed Round
Blume Ventures,"Feb 21, 2024",Virohan,1.8,Series B
Blume Ventures,"Feb 14, 2024",Segwise,1.6,Pre Seed Round
Blume Ventures,"Jan 9, 2024",Glamplus,2,Seed Round
Blume Ventures,"Dec 20, 2023",GreyOrange,135,Series D
Blume Ventures,"Dec 7, 2023",Airblack,4,Series B
Blume Ventures,"Dec 6, 2023",VoiceClub,0.7,Seed Round
Blume Ventures,"Nov 21, 2023",VAMA,1.5,Seed Round
Blume Ventures,"Nov 6, 2023",Euler Motors,15.6,Series C
Stride Ventures,"Feb 19, 2024",Pratech Brands,1.9,Debt Financing
Stride Ventures,"Feb 15, 2024",Metalbook,16.9,Series A
Stride Ventures,"Feb 14, 2024",Moove,10,Debt Financing
Stride Ventures,"Feb 12, 2024",AmberStudent,2.5,Debt Financing
Stride Ventures,"Feb 9, 2024",Lohum,23,Series B
Stride Ventures,"Jan 9, 2024",Grip Invest,1.4,Convertible Note
Stride Ventures,"Jan 9, 2024",Grip Invest,8.4,Series B
Stride Ventures,"Jan 3, 2024",HyugaLife,1.079,Seed Round
Stride Ventures,"Dec 21, 2023",BluSmart Mobility,26,Series A
ah! Ventures,"Jan 10, 2024",FlexifyMe,1.2,Seed Round
ah! Ventures,"Jan 2, 2024",Settl.,1.2,Seed Round
ah! Ventures,"Nov 30, 2023",Twyn,1.3,Seed Round
ah! Ventures,"Nov 23, 2023",ZappFresh,3.6,Venture Round
ah! Ventures,"Oct 31, 2023",Klassroom Edutech,0.45,Venture Round
ah! Ventures,"Jul 28, 2023",Terra Food Co.,0.8,Seed Round
We Founder Circle,"Jan 18, 2024",Bharatsure,1.079,Seed Round
We Founder Circle,"Jan 10, 2024",Evify,1.3,Seed Round
We Founder Circle,"Jan 2, 2024",Settl.,1.2,Seed Round
We Founder Circle,"Dec 29, 2023",Cashvisory,0.1,Pre Seed Round
We Founder Circle,"Dec 27, 2023",ESCROWPAY,6.6,Series A
We Founder Circle,"Oct 25, 2023",Garuda Aerospace,3,Series A
Inflection Point Ventures,"Feb 22, 2024",IndicWisdom,5,Seed Round
Inflection Point Ventures,"Feb 5, 2024",Snap-E Cabs,2.5,Seed Round
Inflection Point Ventures,"Jan 18, 2024",Bharatsure,1,Seed Round
Inflection Point Ventures,"Jan 18, 2024",BON V Aero,0.7,Venture Round
Inflection Point Ventures,"Jan 9, 2024",Glamplus,2,Seed Round
Inflection Point Ventures,"Jan 2, 2024",Settl.,1.2,Seed Round
Inflection Point Ventures,"Dec 28, 2023",SkinQ,0.4,Seed Round
Inflection Point Ventures,"Dec 27, 2023",ESCROWPAY,6.6,Series A
Accel,"Feb 14, 2024",Rasa,30,Series C
Accel,"Feb 8, 2024",Vocode,3.3,Seed Round
Accel,"Feb 7, 2024",Gently,2.5,Seed Round
Accel,"Jan 23, 2024",Oasis Security,35,Series A
Accel,"Dec 14, 2023",Qogita,93.84,Series B
Accel,"Dec 14, 2023",Arcane Intelligence,5.3,Seed Round
Accel,"Dec 7, 2023",Rhythms,26,Seed Round
Accel,"Dec 3, 2023",AssemblyAI,50,Series C
Accel,"Dec 1, 2023",Syrup Tech,17.8,Series A
Antler India,"Feb 22, 2024",Kusho,0.6,Pre Seed Round
Antler India,"Feb 14, 2024",Segwise,1.6,Pre Seed Round
Antler India,"Jan 18, 2024",Sahaj Gaming,0.35,Pre Seed Round
Antler India,"May 2, 2023",Ohm Mobility,0.4,Pre Seed Round
Antler India,"Feb 20, 2023",Chainrisk (prev UNSNARL),0.01,Grant
Antler India,"Jan 23, 2023",OnArrival Travel,0.2,Pre Seed Round
Antler India,"Jan 11, 2023",Salad,0.3,Pre Seed Round
Antler India,"Dec 14, 2022",Hexo,0.27,Pre Seed Round
Titan Capital,"Feb 13, 2024",Supertails,156.7,Series B
Titan Capital,"Feb 8, 2024",Neodocs,2,Seed Round
Titan Capital,"Jan 16, 2024",InPrime Finserv,3,Series A
Titan Capital,"Jan 3, 2024",DevDham,0.7,Seed Round
Titan Capital,"Oct 19, 2023",Showroom B2B,6.5,Seed Round
Titan Capital,"Oct 16, 2023",P-TAL,0.5,Seed Round
Titan Capital,"Sep 25, 2023",Legistify,4,Series A
Titan Capital,"Aug 22, 2023",Boxs,1.6,Seed Round
Titan Capital,"Jul 19, 2023",Blitz,3,Seed Round
Titan Capital,"Jul 12, 2023",AndesInfra Solutions,1,Seed Round
