Sr. No,Vc names,Office,Contact,Key People,Investors
1,AngelList India,New Delhi,india@angel.co,Dhruv Sharma,"Anupam mittal,binny bansal,kunal shah"
2,Alteria Capital,Mumbai,ishpreet@strideventures.in,"Ajay Hattangdi,Vinod Murali
Ankit Agarwal",
3,Blume Ventures,Mumbai,contact@blume.vc,"Arpit Agarwal,Sanjay Nath
,Karthik Reddy,Ashish Fafadia",
4,Stride Ventures,Grurugram,,"Ishpreet Gandhi,Abhinav Suri, 
Apoorva Sharma",
5,ah! Ventures,Mumbai,info@ahventures.in.,"Harshad Lahoti,Abhijeet Kumar,
Jignesh Kenia

","SALIM MERCHANT,SULAIMAN 
,KUNAL ,PARAS CHOWDHARY,
KOLTE PATIL,HUNGAMA MUSIC,
HINDUSTAN TIMES MEDIA,CHANDRU CHAWLA"
6,We Founder Circle,Mumbai,support@wefoundercircle.com,"Neeraj Tyagi
,CA Gaurav VK Singhvi
Bhawna Bhatnagar
","Beardo,Goibibo,Dineout,Healthians"
7,Inflection Point Ventures,Gurugram,marcom@ipventures.in,"Vinay Bansal,Ankur Mittal,Mitesh Shah
","Anuj Munot,Pramod Kabra,Mitesh daga, Rahul Verma"
8,Accel,Bengaluru,80 4353980,"Prashanth Prakash,Jim swartz","Pratik Agarwal,Radhika ananth,mahendran balchandran,abhinav chaturvedi"
9,Antler India,Bengaluru,india@antler.co,"Magnus Grimeland,Rajiv Srivatsa
,Anne Solhaug Tutar
","Martell Hardenberg,Fady Abdel-Nour,Teddy Himler"
10,Titan Capital,Gurgaon,startups@titancapital.vc.,"Kunal Bahl,Rohit Bansal","sequoia,Combinator,matrix,accelTiger Global"
